22.9,9.1578,8.0004
22.95,9.1798,8.0103
23,9.2019,8.0201
23.05,9.224,8.03
23.1,9.2462,8.0398
23.15,9.2683,8.0496
23.2,9.2905,8.0594
23.25,9.3126,8.0692
23.3,9.3348,8.079
23.35,9.357,8.0888
23.4,9.3792,8.0985
23.45,9.4014,8.1083
23.5,9.4236,8.1181
23.55,9.4458,8.1278
23.6,9.468,8.1376
23.65,9.4902,8.1474
23.7,9.5124,8.1571
23.75,9.5346,8.1669
23.8,9.5568,8.1767
23.85,9.579,8.1864
23.9,9.6011,8.1961
23.95,9.6231,8.2058
24,9.645,8.2155
24.05,9.6668,8.225
24.1,9.6883,8.2345
24.15,9.7097,8.2439
24.2,9.7308,8.2532
24.25,9.7517,8.2624
24.3,9.7723,8.2715
24.35,9.7927,8.2805
24.4,9.8128,8.2893
24.45,9.8326,8.2981
24.5,9.8521,8.3067
24.55,9.8713,8.3151
24.6,9.8902,8.3234
24.65,9.9088,8.3316
24.7,9.927,8.3397
24.75,9.9449,8.3476
24.8,9.9625,8.3553
24.85,9.9798,8.3629
24.9,9.9967,8.3704
24.95,10.013,8.3777
25,10.03,8.3849
25.05,10.045,8.3919
25.1,10.061,8.3988
25.15,10.076,8.4056
25.2,10.091,8.4122
25.25,10.106,8.4186
25.3,10.12,8.4249
25.35,10.134,8.4311
25.4,10.148,8.4372
25.45,10.161,8.4431
25.5,10.174,8.4488
25.55,10.187,8.4545
25.6,10.2,8.46
25.65,10.212,8.4654
25.7,10.224,8.4706
25.75,10.235,8.4758
25.8,10.247,8.4808
25.85,10.258,8.4857
25.9,10.269,8.4904
25.95,10.279,8.4951
26,10.289,8.4996
26.05,10.299,8.5041
26.1,10.309,8.5084
26.15,10.319,8.5126
26.2,10.328,8.5167
26.25,10.337,8.5207
26.3,10.346,8.5246
26.35,10.355,8.5284
26.4,10.363,8.5321
26.45,10.371,8.5358
26.5,10.379,8.5393
26.55,10.387,8.5427
26.6,10.394,8.5461
26.65,10.402,8.5493
26.7,10.409,8.5525
26.75,10.416,8.5556
26.8,10.423,8.5586
26.85,10.429,8.5615
26.9,10.436,8.5644
26.95,10.442,8.5672
27,10.448,8.5699
27.05,10.454,8.5725
27.1,10.46,8.5751
27.15,10.466,8.5776
27.2,10.471,8.58
27.25,10.477,8.5824
27.3,10.482,8.5847
27.35,10.487,8.5869
27.4,10.492,8.5891
27.45,10.497,8.5913
27.5,10.501,8.5933
27.55,10.506,8.5953
27.6,10.51,8.5973
27.65,10.515,8.5992
27.7,10.519,8.6011
27.75,10.523,8.6029
27.8,10.527,8.6046
27.85,10.531,8.6063
27.9,10.534,8.608
27.95,10.538,8.6096
28,10.542,8.6112
28.05,10.545,8.6127
28.1,10.548,8.6142
28.15,10.552,8.6157
28.2,10.555,8.6171
28.25,10.558,8.6184
28.3,10.561,8.6198
28.35,10.564,8.6211
28.4,10.567,8.6223
28.45,10.569,8.6236
28.5,10.572,8.6247
28.55,10.575,8.6259
28.6,10.577,8.627
28.65,10.58,8.6281
28.7,10.582,8.6292
28.75,10.585,8.6302
28.8,10.587,8.6312
28.85,10.589,8.6322
28.9,10.591,8.6332
28.95,10.593,8.6341
29,10.595,8.635
29.05,10.597,8.6359
29.1,10.599,8.6368
29.15,10.601,8.6376
29.2,10.603,8.6384
29.25,10.605,8.6392
29.3,10.606,8.6399
29.35,10.608,8.6407
29.4,10.61,8.6414
29.45,10.611,8.6421
29.5,10.613,8.6428
29.55,10.614,8.6435
29.6,10.616,8.6441
29.65,10.617,8.6447
29.7,10.619,8.6453
29.75,10.62,8.6459
29.8,10.621,8.6465
29.85,10.623,8.6471
29.9,10.624,8.6476
29.95,10.625,8.6481
30,10.626,8.6487
30.05,10.627,8.6492
30.1,10.628,8.6496
30.15,10.629,8.6501
30.2,10.63,8.6506
30.25,10.631,8.651
30.3,10.632,8.6515
30.35,10.633,8.6519
30.4,10.634,8.6523
30.45,10.635,8.6527
30.5,10.636,8.6531
30.55,10.637,8.6535
30.6,10.638,8.6538
30.65,10.639,8.6542
30.7,10.639,8.6545
30.75,10.64,8.6549
30.8,10.641,8.6552
30.85,10.642,8.6555
30.9,10.642,8.6558
30.95,10.643,8.6561
31,10.644,8.6564
31.05,10.644,8.6567
31.1,10.645,8.657
31.15,10.645,8.6573
31.2,10.646,8.6575
31.25,10.647,8.6578
31.3,10.647,8.658
31.35,10.648,8.6583
31.4,10.648,8.6585
31.45,10.649,8.6587
31.5,10.649,8.659
